Last_name,Name,Gender,Date_birth,Position,City,Address,Phone,Email
Червоненко,Пріска,Female,1998-11-07,Круп'є,хутір Синельникове,"площа Кременецький, буд. 8, Гадяч, 86576",+380 36 667 91 44,leskhrystenko@example.org
Фастенко,Ада,Female,1953-08-23,Соціолог,місто Берегове,"набережна Свободи, буд. 0 кв. 66, Армянськ, 94688",+380 78 085 79 42,ruslanisaienko@example.com
Зінчук,Анастасія,Female,1991-04-18,Модельєр,хутір Буринь,"вулиця Велика Садова, буд. 4, Старобільськ, 32272",137-91-58,mykyta07@example.net
Яценюк,Феофан,Male,1956-01-18,Електрослюсар,місто Південне,"вулиця Чорноморський 13-й, буд. 298, Перевальськ, 67444",043 385 70 86,shavryliuk@example.net
Шевченко,Алла,Female,1958-12-27,Лікар,селище Подільськ,"сквер Університетський, буд. 4, Острог, 32896",+380 56 345-41-45,xriabets@example.com
Тесля,Максим,Male,1976-03-20,Нотаріус,селище Шостка,"проспект Мерло, буд. 0, Зборів, 47271",+380 84 545-38-62,dubasstefan@example.com
Токар,Зиновій,Male,2005-01-04,Хореограф,хутір Кіцмань,"проспект Іподромний, буд. 81 кв. 984, Сокаль, 91927",+380 53 874-44-53,tymofii08@example.com
Джус,Назар,Male,1955-01-17,Ветеринар,місто Вижниця,"провулок Баринштейна, буд. 4, Слов'янськ, 74575",+380 91 928 40 97,pavlokorolenko@example.net
Фастенко,Соломон,Male,1959-07-14,Біолог,місто Керч,"сквер Барвінковий, буд. 736 кв. 1, Фастів, 86829",+380 85 048-06-31,bohdan70@example.org
Короленко,Валентина,Female,1982-08-12,Клоун,хутір Радивилів,"проспект Каретний, буд. 141, Нововолинськ, 70677",+380 (97) 501-40-67,zinchukmykhailo@example.org
Товстоліс,Мирослав,Male,1959-12-22,Флорист,місто Лохвиця,"площа Балтський 8-й, буд. 30, Овруч, 33774",+380 38 525 23 27,ada41@example.com
Жаліло,Прохір,Male,1955-06-02,Астронавт,хутір Шептицький,"набережна Лугова, буд. 5 кв. 58, Енергодар, 75302",081 247 14 15,zasiadkoarkadii@example.com
Лукаш,Михайлина,Female,1997-08-03,Зоолог,місто Немирів,"вулиця Теплична, буд. 824 кв. 0, Златопіль, 22083",029 323-82-88,leontiihavrysh@example.com
Шутько,Гордій,Male,1982-03-11,Пекар,місто Берислав,"сквер Яблунева, буд. 894, Кіцмань, 14159",+380 75 018-23-64,adamzaiets@example.org
Пилипенко,Ольга,Female,1999-01-13,Фізик,село Лисичанськ,"проспект Аеродромний 3-й, буд. 0, Гребінка, 94760",+380 (40) 653-06-21,solomiia63@example.com
Адамчук,Стефан,Male,1998-04-02,Маркетолог,село Глиняни,"набережна Олександра Юрженка, буд. 586 кв. 79, Нововолинськ, 10771",553-47-66,mkyrylenko@example.com
Гриценко,Аліна,Female,1996-05-30,Льотчик,місто Березівка,"проспект Північний, буд. 9 кв. 80, Молочанськ, 61202",+380 66 276-20-35,hisaievych@example.net
Іващенко,Ярослава,Female,1977-08-20,Мікробіолог,село Голубівка,"парк Металістів, буд. 338, Звенигородка, 90187",080 210 54 93,danhabelko@example.com
Ільєнко,Анастасія,Female,1993-08-12,Гірник,село Зимогір'я,"проспект Аеропортівська, буд. 734 кв. 04, Буськ, 96450",086 485 96 57,skorobohatkodan@example.org
Ажажа,Федір,Male,1976-06-17,Мистецтвознавець,хутір Чернігів,"узвіз Чорноморський 8-й, буд. 27 кв. 91, Новодружеськ, 44037",083 533-90-39,tsushkomilena@example.org
Охріменко,Адам,Male,1953-09-10,Підприємець,селище Чистякове,"площа 12-та ст. Великого Фонтану пляж, буд. 161, Карлівка, 95696",+380 84 778-33-16,violetta40@example.org
Токар,Альбіна,Female,1965-05-20,Кухар,селище Ківерці,"узвіз Житомирська, буд. 74 кв. 2, Хмельницький, 84665",+380 57 955-21-90,kyrylo52@example.net
Акуленко,Віктор,Male,1942-12-15,Електрослюсар,місто Лубни,"площа Буковинська, буд. 7, Кадіївка, 48928",056 657-74-78,varvarachumachenko@example.com
Корпанюк,Валентин,Male,1971-11-02,Футболіст,село Барвінкове,"площа Чорноморський, буд. 1 кв. 19, Христинівка, 23736",021 881-57-62,prymachenkozorian@example.org
Давимука,Оксенія,Female,1965-11-07,Прокурор,селище Лиман,"узвіз Тракторна, буд. 80, Макіївка, 70346",+380 03 641-55-12,demianchukavhustyn@example.org
Якимчук,Марина,Female,1949-03-18,Електротехнік,село Гірське,"узвіз Дур'янівський, буд. 7, Чортків, 56495",+380 40 406-08-24,venedyktmoskal@example.net
Овсієнко,Юстим,Male,1974-12-05,Кур'єр,селище Березань,"вулиця Братів Малакових, буд. 291, Рубіжне, 55092",+380 31 923-97-25,amvrosiitsymbal@example.com
Михалюк,Пріска,Female,1977-02-04,Лікар,хутір Зіньків,"узвіз Рівності, буд. 51 кв. 76, Надвірна, 78834",857-14-82,tkhudiak@example.com
Шиян,Віра,Female,1966-03-07,Державний службовець,хутір Угнів,"площа Стороженка Олега, буд. 3, Могилів-Подільський, 88649",707-74-86,fediriefymenko@example.net
Ярош,Роман,Male,2001-04-24,Художник,хутір Красноперекопськ,"набережна Олександра Юрженка, буд. 22, Городня, 33645",036 683 47 07,artemlevchenko@example.com
Рудько,Пріска,Female,1990-01-12,Промисловець,місто Дергачі,"проспект Чорноморський 12-й, буд. 256, Світлодарськ, 24008",058 417 89 48,amvrosii62@example.net
Бездітко,Франц,Male,2001-11-26,Художник,селище Кам'янка-Дніпровська,"проспект Онілової, буд. 684, Старокостянтинів, 70033",+380 (82) 577-39-88,makar42@example.net
Гаврилюк,Мартин,Male,2006-02-05,Ветеринар,хутір Бахмач,"шосе Львівська, буд. 2, Старий Крим, 78627",587 42 65,nadiia01@example.org
Ящук,Йосип,Male,1978-01-29,Кур'єр,місто Чигирин,"вулиця Горіхова, буд. 132, Зугрес, 32840",+380 42 340 40 13,kamilla89@example.org
Дуплій,Опанас,Male,1992-07-08,Кушнір,село Красилів,"вулиця Керченська, буд. 216, Сніжне, 18718",778 27 42,orkhyponyshchenko@example.com
Андрейко,Валентина,Female,1994-12-27,Флорист,хутір Бахчисарай,"узвіз Лінія 51-ша, буд. 610 кв. 63, Снігурівка, 09448",+380 66 537 67 26,antoniatseniuk@example.com
Василевич,Демид,Male,1938-12-21,Будник,хутір Калуш,"площа Скляний 2-й, буд. 179 кв. 081, Вашківці, 68414",086 937 20 47,ihorfastenko@example.org
Рак,Аліна,Female,1998-10-13,Лікар,село Лохвиця,"вулиця Килимова, буд. 18, Лисичанськ, 83163",004 511-59-82,mgereta@example.com
Ґерус,Омелян,Male,1980-07-15,Електромонтажник,село Ровеньки,"сквер Лінія 27-ма, буд. 299 кв. 05, Новий Калинів, 64183",064-13-31,khrystyna65@example.com
Дробаха,Софія,Female,1964-07-22,Будник,селище Білицьке,"площа Ланжерон, буд. 092 кв. 647, Канів, 78720",087 78 15,abramchukliliia@example.net
Жаліло,Мирон,Male,1957-12-16,Євнух,село Чигирин,"набережна Юннатів, буд. 088 кв. 160, Харків, 55136",332-16-13,kkhorishko@example.com
Павленко,Георгій,Male,1969-10-27,Парфюмер,село Мена,"набережна Тарутинська, буд. 0 кв. 36, Лиман, 40274",510 07 36,khoma75@example.net
Масоха,Ярема,Male,1993-02-27,Водій,місто Нетішин,"площа Осіння, буд. 90 кв. 85, Городня, 84632",526 51 70,dan11@example.org
Лукаш,Франц,Male,1997-07-26,Гірник,селище Новояворівськ,"узвіз Оранжерейний, буд. 901, Берислав, 54407",035 546-69-97,cieshchenko@example.org
Єрченко,Опанас,Male,1968-09-15,Євнух,місто Рожище,"вулиця Обільна, буд. 81 кв. 9, Сколе, 82176",+380 23 967-71-59,eriabchenko@example.org
Дубенко,Ліза,Female,1994-12-09,Локсмайстер,хутір Миколаївка,"узвіз Штабний, буд. 4, Вознесенівка, 66490",053 877 67 24,orobetsorysia@example.org
Комар,Святослава,Female,1980-07-13,Астрофізик,хутір Ковель,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 24, Тульчин, 98332",+380 84 970-01-73,zatovkaniukokseniia@example.net
Назаренко,Панас,Male,1957-04-11,Секретар,місто Володимир-Волинський,"проспект Леха Качинського, буд. 274, Карлівка, 72549",+380 17 615 95 55,matroshchenko@example.org
Балабан,Орхип,Male,1998-12-29,Реставратор,місто Носівка,"узвіз Академіка Ясиновського, буд. 2, Горішні Плавні, 25665",038-48-28,ievhenkanivets@example.org
Вакарчук,Надія,Female,1970-05-28,Секретар,хутір Синельникове,"провулок Геологічна, буд. 03 кв. 1, Носівка, 91943",515-58-38,bohodarkharchenko@example.org
Захарченко,Федір,Male,1965-01-15,Перекладач,селище Чортків,"проспект Селекційна, буд. 007, Суми, 39636",071 07 41,ikolesnychenko@example.net
Гавриш,Хома,Male,1972-07-25,Реставратор,місто Сіверськ,"парк Стельмаха, буд. 0, Соснівка, 11955",084 441-19-89,volodymyrakorsun@example.org
Стець,Ольга,Female,1939-10-08,М'ясник,селище Суми,"узвіз Балтська дорога, буд. 455 кв. 0, Герца, 75557",+380 88 830 54 75,varvarakorzh@example.net
Кибкало,Арсен,Male,1994-07-21,Мистецтвознавець,місто Зіньків,"сквер Лінійний, буд. 599, Хотин, 63466",035 818 47 09,nazarenkoleon@example.org
Оробець,Орест,Male,1953-10-19,Складальник,місто Балта,"узвіз Лінійний, буд. 14, Шаргород, 87663",078 372-61-31,qdzhun@example.net
Непорожній,Софія,Female,1958-05-19,Дизайнер,село Липовець,"вулиця Чернівецький, буд. 76, Жовті Води, 06521",820-67-69,hannatelizhenko@example.net
Габелко,Єлисавета,Female,1955-12-07,Літературознавець,село Бар,"узвіз Ігоря Іванова, буд. 87 кв. 8, Долинська, 01959",084 082 00 41,boryshunko@example.net
Охримович,Єфрем,Male,1977-03-11,Мінералог,місто Київ,"набережна Морехідний, буд. 6 кв. 7, Рахів, 30493",031 690-46-81,satsiukiefrem@example.net
Харченко,Болеслав,Male,2008-03-23,Музичний редактор,місто Ізяслав,"площа Солонцюватий, буд. 549, Сокиряни, 59834",917 12 70,obazavluchenko@example.org
Андрусенко,Віра,Female,1969-11-16,Астронавт,місто Ланівці,"сквер Степова, буд. 52 кв. 8, Охтирка, 14627",788 99 19,anastasiiafareniuk@example.net
Пилипенко,Олександр,Male,2004-07-18,Гірник,хутір Скадовськ,"сквер Будівельний, буд. 6, Заліщики, 63533",078-12-11,snizhanaoberemko@example.org
Чалий,Лесь,Male,1983-11-02,Випробувач,селище Привілля,"проспект Олександра Станкова, буд. 53 кв. 0, Фастів, 64722",668-68-46,anzhelakhrystych@example.net
Пушкар,Онисим,Male,1944-03-18,Провізор,місто Березівка,"вулиця Удільний, буд. 41, Золоте, 54418",+380 73 759-84-67,nhrytsenko@example.net
Сацюк,Хома,Male,1988-04-24,Провізор,село Ізюм,"парк Лузанівська, буд. 49 кв. 40, Амвросіївка, 66341",031 054-16-96,bohdanshevchenko@example.net
Козаченко,Ілля,Male,1985-12-10,Паблік рилейшнз,місто Мостиська,"проспект Артилерійська, буд. 876 кв. 53, Суми, 22011",013 037 32 66,orobetsiustyna@example.com
Салій,Ірина,Female,1976-03-31,Кінорежисер,місто Зоринськ,"парк Килимовий, буд. 936, Торецьк, 64432",+380 81 550-89-99,spasrebryk@example.net
Бабійчук,Азар,Male,1984-03-06,Продюсер,місто Білогірськ,"парк Керченський 1-й, буд. 963, Дубляни, 51712",066 982 20 26,hennadii53@example.org
Левченко,Тарас,Male,1968-10-19,Клавішник,місто Шумськ,"парк Східчастий 3-й, буд. 76 кв. 687, Калинівка, 71591",+380 (33) 101-97-44,vlavrenko@example.net
Шеремет,Ірина,Female,1984-12-25,Гірник,місто Буча,"парк Аеропортівський 3-й, буд. 084, Суми, 05382",774-02-96,liza44@example.net
Джус,Наталія,Female,1995-09-08,Професор,хутір Кам'янка-Дніпровська,"набережна Басейний 6-й, буд. 846 кв. 7, Бережани, 14039",027 327 91 17,lizadarahan@example.net
Гресь,Ірина,Female,1960-01-16,Живописець,місто Боково-Хрустальне,"парк Басейний 6-й, буд. 2, Нововолинськ, 99527",013 887-07-04,myroslavtovstolis@example.org
Вахній,Сніжана,Female,1968-07-07,Сценарист,село Стебник,"парк Куниці, буд. 9, Збараж, 90765",+380 (08) 373-24-00,zzabara@example.org
Романенко,Роман,Male,1950-03-18,Стиліст,хутір Куп'янськ,"вулиця Володимира Антоновича, буд. 2 кв. 92, Ворожба, 42470",+380 (41) 954-05-83,jteslia@example.net
Пушкар,Сергій,Male,2000-12-15,Нотаріус,хутір Косів,"набережна Разумовська, буд. 9 кв. 71, Токмак, 06696",+380 (21) 858-42-91,tytarenkoihor@example.org
Панчук,Михайлина,Female,1949-04-12,Режисер,місто Бурштин,"набережна Могилівська, буд. 35, Василівка, 22178",001 626-50-80,svitlanabevzenko@example.org
Баштан,Розалія,Female,2002-07-07,Кіноактор,хутір Звенигородка,"парк Ширяївський, буд. 345, Любомль, 78027",154 07 64,iermolenkoleon@example.net
Худяк,Еріка,Female,1971-01-24,Мовознавець,хутір Верхньодніпровськ,"парк Заводська 2-га, буд. 080, Отаманівка, 51668",056 752-05-67,leopold86@example.net
Атаманюк,Олена,Female,1954-02-22,Ґрунтознавець,селище Кіцмань,"проспект Лиманна, буд. 78 кв. 32, Сокиряни, 09215",079 724-63-19,viacheslavdanchenko@example.com
Яремків,Симон,Male,1945-10-13,Біолог,село Кам'янка-Дніпровська,"узвіз Городня, буд. 3, Апостолове, 82029",+380 26 216-48-85,vasylchuiko@example.org
Іщенко,Левко,Male,1955-10-17,Дизайнер,місто Бахчисарай,"площа Дачна, буд. 00 кв. 030, Олександрівськ, 17329",072 968-17-12,kashchenkoavhustyn@example.org
Якименко,Ярема,Male,1982-08-29,Слідчий,село Білицьке,"проспект Бригадна, буд. 41, Лисичанськ, 13221",561-36-04,svyrydenkomartyn@example.net
Заруба,Анжела,Female,1991-05-05,Модель,село Ковель,"шосе Деревообробний 5-й, буд. 020 кв. 43, Вознесенськ, 10570",372-62-15,prokhirpiatachenko@example.com
Устенко,Семен,Male,1956-06-18,Археолог,хутір Семенівка,"узвіз Василя Кандинського 1-й, буд. 22, Збараж, 07310",024 653 53 51,jandriienko@example.com
Демʼянчук,Веніямин,Male,1989-05-11,Архітектор,хутір Сквира,"провулок Юрія Кондратюка, буд. 1, Чуднів, 75802",+380 13 952-94-21,nehodarozaliia@example.org
Андрейко,Роксолана,Female,1965-03-14,Хімік,хутір Вуглегірськ,"вулиця Хаджибейський 3-й, буд. 15, Валки, 79348",574 14 90,valeriiivanenko@example.org
Шевченко,Миколай,Male,1943-04-27,Модель,селище Буча,"узвіз Ванний, буд. 91 кв. 48, Вільнянськ, 50131",633 14 41,taras36@example.org
Заруба,Онисим,Male,1983-05-20,Патологоанатом,хутір Яготин,"провулок Палубна, буд. 685, Тячів, 27216",052 523 62 99,danna78@example.com
Вівчаренко,Валерій,Male,1948-01-15,Ветеринар,село Середина-Буда,"проспект Мелодійний, буд. 040 кв. 83, Заставна, 07652",422-04-64,bohdanna53@example.net
Атрощенко,Олександр,Male,2005-06-09,Музичний редактор,селище Тростянець,"вулиця Болгарська, буд. 47 кв. 51, Шепетівка, 15738",+380 (95) 445-18-49,varfolomiitsisyk@example.net
Кальченко,Ада,Female,1962-06-19,Бухгалтер,хутір Володимир-Волинський,"сквер Вінницька, буд. 851, Городище, 55605",166-73-95,xmatiash@example.org
Ґерета,Богуслава,Female,1956-06-04,Геофізик,місто Острог,"шосе Артилерійська, буд. 11 кв. 87, Лутугине, 89065",+380 (01) 414-72-14,bvitruk@example.com
Теліженко,Орина,Female,1988-07-14,Продюсер,хутір Золочів,"узвіз Східчастий, буд. 1 кв. 84, Чернівці, 90418",023 388-29-62,arsenasaula@example.net
Онищенко,Симон,Male,1953-05-21,Няня,місто Вилкове,"проспект Ліверпульський, буд. 31 кв. 7, Шептицький, 25077",330 19 39,varvara27@example.net
Андрійович,Василь,Male,1963-08-16,Ді-джей,село Перемишляни,"вулиця В’ячеслава Чорновола, буд. 9 кв. 798, Карлівка, 28581",+380 35 103-07-77,demian66@example.com
Юрчук,Марія,Female,1943-01-10,Пілот,селище Севастополь,"шосе Водний, буд. 7 кв. 37, Краматорськ, 90717",+380 61 019 02 71,artemkolisnychenko@example.org
Охримович,Данна,Female,1947-06-22,Геофізик,селище Кам'янка (Черкаська область),"проспект Штабний, буд. 510 кв. 5, Ківерці, 33505",094 874 47 29,shevchenkorostyslav@example.net
Товстоліс,Світлана,Female,1971-06-20,Вчитель,місто Біляївка,"узвіз Георгія Липського, буд. 9, Мерефа, 79964",+380 93 536 77 35,chavrylets@example.com
Шаповал,Галина,Female,1960-10-22,Бізнесмен,місто Нетішин,"площа Шевченка парк, буд. 17, Берестечко, 55807",+380 86 055-30-42,nfastenko@example.net
Чалий,Андрій,Male,1985-02-19,Редактор,селище Калинівка,"шосе Сортувальна 1-ша, буд. 863, Вараш, 11288",+380 04 484-71-05,iprykhodko@example.org
Вертипорох,Василина,Female,1992-02-08,Складальник,село Рахів,"провулок Нафтовиків, буд. 49 кв. 856, Тиврів, 40901",+380 05 794-37-14,symon66@example.com
Атрощенко,Лариса,Female,1975-11-25,Історик,селище Отаманівка,"парк Проектний 5-й, буд. 651 кв. 124, Городня, 34654",+380 (16) 831-19-03,iurchukmykhailo@example.org
Овсієнко,Олег,Male,1940-07-13,Хімік,хутір Таврійськ,"проспект Яблучна, буд. 9, Соснівка, 99515",+380 46 408 24 75,iesypenkoieva@example.com
Таран,Йосип,Male,1950-11-03,Парфюмер,селище Миколаївка,"проспект Новаторів, буд. 63 кв. 5, Селидове, 75545",310 93 86,olhakhorishko@example.com
Сацюк,Венедикт,Male,1994-03-08,Громадський діяч,місто Харків,"парк Госпітальєрів, буд. 10 кв. 896, Марганець, 39879",073 915 40 18,havryloishchak@example.org
Стельмах,Христина,Female,1981-09-29,Біолог,село Миколаїв,"шосе Успенська, буд. 295, Бобринець, 77041",+380 29 716-70-48,oryna82@example.com
Ващук,Амвросій,Male,1961-01-22,Ріелтор,селище Шахтарськ,"провулок Тополиний, буд. 472 кв. 811, Чуднів, 81640",014 927-29-83,petro20@example.net
Дацюк,Стефан,Male,1959-10-28,Мірошник,місто Кілія,"парк Орликова, буд. 140, Новгород-Сіверський, 84899",+380 67 846-65-54,ruslanfranchuk@example.net
Архимович,Орест,Male,1980-05-22,Археолог,місто Святогірськ,"узвіз 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 175 кв. 567, Перечин, 70797",061 183 74 64,kbaklan@example.com
Кибкало,Франц,Male,2004-04-15,Машиніст,селище Мирноград,"проспект Костанді, буд. 2, Нетішин, 62634",050 028 41 85,artymyshynvalentyn@example.com
Хомик,Аніта,Female,1971-03-13,Різноробочий,місто Жмеринка,"вулиця Прирейкова, буд. 908, Щолкіне, 80205",+380 78 158 66 84,teodorkabaliuk@example.com
Охріменко,Йосип,Male,1981-08-29,Драматург,місто Гірник,"узвіз Надії Пучковської, буд. 4 кв. 568, Біла Церква, 64521",+380 (46) 037-18-79,derhachmykolai@example.org
Вишиваний,Борислав,Male,1982-02-08,Зоолог,хутір Дніпрорудне,"проспект Профспілкова, буд. 24, Дергачі, 85864",777-81-65,havrylo55@example.net
Лубенець,Федір,Male,1972-11-02,Етнограф,селище Довжанськ,"провулок Обільний 2-й, буд. 1, Кам'янка-Дніпровська, 23703",+380 02 807 01 65,larysakaras@example.com
Гайденко,Марко,Male,1963-10-10,Золотар,село Деражня,"шосе Халайджогло, буд. 6, Погребище, 35590",+380 26 682-35-41,leontii99@example.org
Єсипенко,Світлана,Female,1953-02-28,Філолог,хутір Оріхів,"вулиця Уральська, буд. 0, Білопілля, 69244",004 984-53-49,bohdanlutsenko@example.org
Чумак,Ярема,Male,1939-08-25,М'ясник,селище Південне,"шосе Менделе Сфоріма, буд. 22 кв. 414, Приморськ, 96213",+380 53 368-24-43,bohdannaoberemko@example.com
Радченко,Ігнат,Male,1971-05-06,Мікробіолог,хутір Бахмач,"набережна Матроський узвіз, буд. 205 кв. 337, Дубно, 99135",851-66-16,rarsenych@example.com
Колодуб,Степан,Male,1969-01-04,Дипломат,хутір Синельникове,"провулок Лютеранський, буд. 7 кв. 5, Комарно, 33878",+380 81 373-85-29,solomon15@example.com
Бабʼяк,Ліза,Female,1982-07-26,Гицель,селище Білицьке,"площа 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 497, Бібрка, 30234",+380 55 000 95 06,varfolomii79@example.com
Цушко,Святослава,Female,1960-03-15,Біолог,селище Хмільник,"шосе Ширяївський, буд. 8, Суходільськ, 67562",+380 64 035 34 74,yhres@example.com
Верес,Георгій,Male,1939-04-24,Підприємець,селище Ніжин,"площа Керченський 2-й, буд. 65, Чигирин, 63137",+380 11 695 98 12,hlib50@example.com
Лазаренко,Ганна,Female,1948-10-30,Хімік,селище Самбір,"сквер Зелена гірка, буд. 84, Марганець, 36525",+380 63 318-32-23,orysia63@example.com
Оліфіренко,Семен,Male,1945-06-28,Няня,хутір Луганськ,"площа Виїзна, буд. 272, Мелітополь, 87610",065 312-25-43,orest38@example.com
Приходько,Артем,Male,1988-11-09,Паблік рилейшнз,селище Зугрес,"шосе Тиха, буд. 566, Жашків, 19127",+380 96 524 30 97,vasyl98@example.com
Андрощук,Трохим,Male,2007-05-31,Складальник,селище Перещепине,"шосе Залізнична, буд. 7 кв. 804, Тлумач, 35358",+380 55 083 86 77,heorhii66@example.com
Зінченко,Клавдія,Female,1973-04-24,Краєзнавець,місто Бучач,"провулок Ризька, буд. 95, Довжанськ, 12465",094 758-75-11,khomastets@example.org
Цибуленко,Демʼян,Male,1974-12-22,Будник,місто Євпаторія,"набережна Грецький, буд. 42 кв. 3, Болград, 79728",+380 (15) 166-43-40,yzinkevych@example.org
Лемешко,Пріска,Female,1998-04-26,Мікробіолог,місто Шепетівка,"набережна Данила Самойловича, буд. 540, Чорноморськ, 17161",+380 49 260 17 68,maksym84@example.net
Атаманчук,Маруся,Female,2001-10-15,Машиніст,місто Очаків,"шосе Заводська 3-тя, буд. 60, Монастирище, 47714",+380 (17) 307-23-82,shvachkomyron@example.org
Ірванець,Іван,Male,1956-06-01,Професор,місто Теплодар,"сквер Поштова, буд. 1, Костопіль, 97068",685-46-53,uchumak@example.com
Вакуленко,Соломія,Female,2001-05-20,Модельєр,селище Джанкой,"площа 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 60 кв. 30, Святогірськ, 41249",+380 76 499 59 24,arsen16@example.com
Дурдинець,Ігнат,Male,1947-08-13,Вчитель,село Володимир-Волинський,"провулок Князя Ярослава Мудрого, буд. 565 кв. 1, Миколаїв, 28929",375 42 52,frantsriabchenko@example.com
Скоробогатько,Устим,Male,1949-03-28,Програміст,село Волочиськ,"узвіз Будівельний, буд. 35, Могилів-Подільський, 64280",+380 50 883 18 61,kalenychenkobohuslava@example.org
Рубан,Борис,Male,1987-02-14,Модель,хутір Ічня,"проспект Танкістів, буд. 27 кв. 72, Кипуче, 09738",043 895 59 41,mhrechanyk@example.net
Дараган,Богданна,Female,1978-11-26,Електромонтажник,місто Путивль,"парк Проїзний 1-й, буд. 8, Боярка, 24158",+380 73 357 41 03,dmytro78@example.net
Калениченко,Лілія,Female,1955-08-30,Співак,селище Токмак,"сквер Рівності, буд. 110 кв. 169, Чернігів, 84859",+380 (23) 719-72-62,tymofiinalyvaiko@example.com
Данилюк,Валентин,Male,1994-04-10,Модельєр,село Жашків,"площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 120 кв. 55, П'ятихатки, 49857",732-20-61,karpenkoodarka@example.net
Дуплій,Климент,Male,1952-08-23,Головний меркшейдер,місто Зборів,"узвіз Вчительська, буд. 90, Охтирка, 03943",+380 94 785-40-84,xvashchuk@example.com
Гук,Камілла,Female,2004-03-12,Фрілансер,село Олевськ,"узвіз Василя Кандинського 3-й, буд. 8, Рівне, 68773",+380 62 383 13 48,kovaliukhordii@example.net
Верес,Вікторія,Female,2005-05-08,Композитор,селище Знам'янка,"площа 12-та ст. Великого Фонтану пляж, буд. 34 кв. 7, Болград, 95357",+380 28 972-67-72,albinashyian@example.org
Гук,Марʼяна,Female,1991-10-03,Клавішник,село Олевськ,"провулок 7-ма Лінія Дачі Ковалевського, буд. 6, Українка, 63402",010 792 67 09,marusiazaporozhets@example.net
Тесленко,Орина,Female,2001-02-01,Гірничий інженер,селище Алушта,"проспект Богуна, буд. 56, Родинське, 49049",+380 45 258 90 66,allalutsenko@example.org
Цибуленко,Гліб,Male,2000-09-14,Піаніст,хутір Зборів,"парк Південна, буд. 4 кв. 06, Ізмаїл, 73451",+380 88 175 50 05,bohodarandrusenko@example.com
Овчаренко,Борис,Male,1989-11-01,Економіст,місто Володимир-Волинський,"парк Владислава Домбровського, буд. 2 кв. 5, Корець, 03658",+380 40 966 61 53,elevchenko@example.net
Килимник,Давид,Male,1971-09-18,Перекладач,селище Березань,"вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 42 кв. 31, Ладижин, 17180",+380 (75) 940-46-38,iefremvoblyi@example.org
Стельмах,Лукʼян,Male,1995-09-16,Педагог,хутір Хутір-Михайлівський,"провулок Ветеранів праці, буд. 2, Кагарлик, 45889",008 585 26 20,wmiroshnychenko@example.org
Ляшко,Богдан,Male,2006-08-24,Конструктор,місто Кремінна,"парк Юхима Геллера, буд. 8 кв. 535, Сквира, 40611",+380 (30) 499-26-07,roksolanaiaremchuk@example.com
Ільченко,Мирон,Male,1976-10-24,Кіноактор,місто Зборів,"парк Луцька, буд. 3 кв. 88, Дубровиця, 67890",019 388 75 11,arsenatamaniuk@example.org
Рудько,Владислав,Male,1997-04-07,Правник,село Славутич,"набережна Докова, буд. 35 кв. 384, Щастя, 57534",013 219 69 10,tsymbalkyrylo@example.org
Влох,Устим,Male,2005-01-26,Реставратор,хутір Балаклія,"узвіз Академічна, буд. 327, Носівка, 29062",053 471-63-79,martyn87@example.net
Бабич,Михайло,Male,1987-05-23,Письменник,селище Сокаль,"вулиця Мельницька, буд. 7 кв. 6, Миргород, 51877",184 81 64,onyshchenkokyrylo@example.com
Якимчук,Данна,Female,1964-06-15,Мікробіолог,село Кривий Ріг,"узвіз Педагогічна, буд. 1 кв. 680, Судак, 73884",026 722-72-23,ruslansvystun@example.net
Пустовіт,Зиновій,Male,2000-08-19,Бізнесмен,хутір Федорівка,"шосе Танкістів, буд. 3 кв. 91, Лиман, 67667",+380 71 642-95-04,bazylevskyioles@example.org
Малишко,Еріка,Female,1965-04-15,Випробувач,хутір Ялта,"вулиця Соляний 2-й, буд. 58 кв. 442, Бобровиця, 65823",080 50 79,kadamenko@example.net
Вобла,Соломія,Female,1977-02-06,Математик,місто Корсунь-Шевченківський,"шосе Інглезі, буд. 684 кв. 338, Гнівань, 84815",+380 (90) 320-31-27,azarbaklan@example.net
Забарний,Ігнат,Male,2004-12-12,Скульптор,хутір Тисмениця,"шосе Керченський 2-й, буд. 3, Єнакієве, 11909",047 993 23 70,liubov01@example.org
Тесленко,Єфрем,Male,1984-04-13,Фотограф,селище Жашків,"вулиця Станційна 2-га, буд. 78, Кодима, 19391",715 26 17,ostappetryk@example.org
Павлик,Маруся,Female,1968-03-15,Інженер,село Вознесенськ,"набережна Мала, буд. 7 кв. 4, Красилів, 34380",197 69 38,onysymtelychenko@example.org
Голобородько,Пантелеймон,Male,1998-07-24,Правник,село Жидачів,"сквер Бориса Едуардса, буд. 50, Ясинувата, 32601",020 530 80 36,ieroshenkoillia@example.com
Адамчук,Ігор,Male,1952-02-13,Перекладач,місто Благовіщенське,"сквер Деволанівська, буд. 35 кв. 41, Яворів, 52314",818 53 37,usykivan@example.net
